"对象","编码","名称","颜色","现有图片","素材键","来源","文件状态","校对结论"
"款式","STYLE-PRJ-202603-005","Celana Jogger Pria 运动裤","Black","/materials/pcs-reviewed/jogger-black.jpg","jogger-black","https://www.walmart.com/ip/682669963","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202603-004","Polo Shirt Pique 男装","Black","/materials/pcs-reviewed/polo-black.webp","polo-black","https://ascolour.com/chad-polo-5402/","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202603-003","春季休闲印花短袖T恤","Black","/materials/pcs-reviewed/print-tee-black.jpg","print-tee-black","https://www.zalando.pl/zoo-york-t-shirt-z-nadrukiem-black-1zo22o00j-q11.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202603-002","通勤直筒西裤","Black","/materials/pcs-reviewed/trousers-black.jpg","trousers-black","https://suitsupply.com/en-us/men/trousers/suit-trousers","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202603-001","法式碎花连衣裙","Black","/materials/pcs-reviewed/dress-floral-black.jpg","dress-floral-black","https://www.pixiegirl.com/pixiegirl-petite-black-ditsy-floral-tie-front-midi-dress-226778-p","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202604-014","修身弹力牛仔裤","Black","/materials/pcs-reviewed/jeans-black.jpg","jeans-black","https://www.celio.com/fr-fr/p/jean-slim-coton-stretch---noir/1130191.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202604-013","镂空蕾丝拼接上衣","Black","/materials/pcs-reviewed/lace-top-black.jpg","lace-top-black","https://bovera.jp/products/cotton-lace-blouse","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202604-012","秋冬加绒卫裤","Black","/materials/pcs-reviewed/jogger-black.jpg","jogger-black","https://www.walmart.com/ip/682669963","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202604-011","通勤薄款针织开衫","Black","/materials/pcs-reviewed/cardigan-black.jpg","cardigan-black","https://www.walmart.com/ip/3514105604","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202604-009","夏威夷风度假衬衫","Black","/materials/pcs-reviewed/hawaii-black.jpg","hawaii-black","https://www.kykushirts.com/product/kyku-hawaiian-mens-shirts-casual-beach-vacation-tropical-mens-button-down-short-sleeve-shirt-with-pockettree-black-men-hawaiian-button-shirt/","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202604-008","情侣款牛仔短裤","Black","/materials/pcs-reviewed/shorts-black.jpg","shorts-black","https://clothbase.com/items/06a15bb6_nudie-jeans-seth-straight-leg-denim-shorts-black_nudie-jeans-co","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202604-007","民族风刺绣连衣裙","Black","/materials/pcs-reviewed/embroidered-dress-black.jpg","embroidered-dress-black","https://www.walmart.com/ip/16875671302","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202604-006","工装束脚口运动裤","Black","/materials/pcs-reviewed/cargo-black.jpg","cargo-black","https://www.walmart.com/c/kp/mens-cargo-joggers","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202604-005","蕾丝拼接晚宴裙","Black","/materials/pcs-reviewed/lace-dress-black.jpg","lace-dress-black","https://www.nordstromrack.com/s/dress-the-population-gianna-lace-panel-crepe-eveninggown/8097828","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202604-004","简约通勤A字裙","Black","/materials/pcs-reviewed/aline-black.jpg","aline-black","https://cassandra.dk/products/mads-norgaard-recycled-sportina-stelly-skirt-fav-black","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202604-003","秋冬重磅卫衣","Black","/materials/pcs-reviewed/sweat-black.jpg","sweat-black","https://www.independenttradingco.com/products/10oz-heavyweight-crew-8","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202604-002","Kemeja Flanel Pria 格子衬衫","Black","/materials/pcs-reviewed/flannel-black.jpg","flannel-black","https://www.walmart.com/ip/BRAHMA-WORK-FLANNEL/15338562452","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","ASYSA26060310","女式基础圆领短袖","Black","/materials/pcs-reviewed/tee-black.jpg","tee-black","https://www.thewarehouse.co.nz/p/hh-womens-essential-short-sleeve-crew-neck-tee/RM110161302-1M.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202604-001","夏季棉麻度假裙","Black","/materials/pcs-reviewed/linen-dress-black.jpg","linen-dress-black","https://www.walmart.com/ip/16682320618","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","STYLE-PRJ-202603-013","Celana Panjang Formal 正装西裤","Black","/materials/pcs-reviewed/trousers-black.jpg","trousers-black","https://suitsupply.com/en-us/men/trousers/suit-trousers","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2026-018","设计款印花阔腿连体裤","Black","/materials/pcs-reviewed/jumpsuit-black.jpg","jumpsuit-black","https://www.tsc.ca/Nina-Leonard-Printed-Jumpsuit/pages/productdetails?nav=R%3A228149","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2024-001","春季休闲T恤","White","/materials/pcs-reviewed/tee-white.jpg","tee-white","https://www.thewarehouse.co.nz/p/hh-womens-essential-short-sleeve-crew-neck-tee/RM110161302-3M.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-SHIRT-086","商务修身长袖衬衫","蓝白印花","/materials/pcs-reviewed/shirt-floral-blue.jpg","shirt-floral-blue","https://www.frenchconnection.com/products/long-sleeve-slim-fit-faded-flower-print-shirt-blue-multi","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-JACKET-085","户外轻量夹克","军绿","/materials/pcs-reviewed/jacket-army.jpg","jacket-army","https://northfinder.com/hu/1625-jackets","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-TEE-084","毛织撞色短袖上衣","珊瑚粉","/materials/pcs-reviewed/knit-coral.jpg","knit-coral","https://www.bluechicboutique.com/products/coral-and-pink-short-sleeve-sweater-1","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-DRESS-083","春季定位印花连衣裙","Red","/materials/pcs-reviewed/dress-red-print.jpg","dress-red-print","https://www.dames.ro/rochie-rosie-casual-cu-decolteu-in-v-imprimata-cu-model-floral.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-HOODIE-082","连帽拉链卫衣","雾霾灰","/materials/pcs-reviewed/hood-grey.jpg","hood-grey","https://ascolour.com/relax-zip-hood-5162/","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-TSHIRT-081","春季休闲印花短袖 T 恤","White","/materials/pcs-reviewed/print-tee-white.jpg","print-tee-white","https://th.hm.com/th_en/regular-fit-t-shirt-0973277063.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2024-017","Celana Pendek Pria","Navy","/materials/pcs-reviewed/shorts-navy.jpg","shorts-navy","https://www.atmosferasport.es/jackjones/pantalon-jack-and-jones-jpstjaiden-campaign-hybridbondi-srt-dark-navy-hombre-139924.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2024-015","Kemeja Linen Pria","White","/materials/pcs-reviewed/linen-white.jpg","linen-white","https://www.muji.com/my/products/cmdty/detail/4550584638138","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2024-008","Kemeja Flanel Pria","Plaid Blue","/materials/pcs-reviewed/flannel-blue.jpg","flannel-blue","https://www.samsclub.com/ip/Eddie-Bauer-Men-s-Bristol-Flannel-Shirt/13598050160","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2024-014","Rompi Pria Casual","Green","/materials/pcs-reviewed/vest-green.jpg","vest-green","https://www.brandsforless.com/en-ae/pull-and-bear-x-stwd-men-solid-vest-jacket-green/1879638/p/","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2024-005","Jaket Hoodie Unisex","Grey","/materials/pcs-reviewed/hood-grey.jpg","hood-grey","https://ascolour.com/relax-zip-hood-5162/","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2024-013","Jas Pria Formal","Navy","/materials/pcs-reviewed/suit-navy.jpg","suit-navy","https://m.lotteimall.com/goods/viewGoodsDetail.lotte?goods_no=2915048812","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2024-004","Kaos Polos Premium","White","/materials/pcs-reviewed/tee-white.jpg","tee-white","https://www.thewarehouse.co.nz/p/hh-womens-essential-short-sleeve-crew-neck-tee/RM110161302-3M.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2024-010","Celana Jogger Pria","Black","/materials/pcs-reviewed/jogger-black.jpg","jogger-black","https://www.walmart.com/ip/682669963","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2024-012","Cardigan Wanita","Beige","/materials/pcs-reviewed/cardigan-beige.jpg","cardigan-beige","https://www.walmart.com/ip/15302453426","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2024-003","Celana Panjang Formal","Navy","/materials/pcs-reviewed/trousers-navy.jpg","trousers-navy","https://www.myntra.com/trousers/raymond/raymond-men-contemporary-fit-formal-trouser/28749478/buy","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2024-016","Blus Wanita Satin","Champagne","/materials/pcs-reviewed/blouse-champagne.webp","blouse-champagne","https://co.ebay.com/b/Satin-Blouses-White-Tops-for-Women/53159/bn_100192078","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2024-011","Sweater Rajut Wanita","Cream","/materials/pcs-reviewed/sweater-cream.jpg","sweater-cream","https://www2.hm.com/pl_pl/productpage.1197654004.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"款式","SPU-2024-009","Polo Shirt Pique","White","/materials/pcs-reviewed/polo-white.jpg","polo-white","https://ascolour.com/chad-polo-5402/","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-001-01","后道验收衬衫","黑色","/materials/pcs-reviewed/shirt-black.jpg","shirt-black","https://business.walmart.com/ip/sogami-Long-Sleeve-Cotton-Dress-Shirts-for-Men-Button-Down-Shirt-Regular-Fit/5326204783","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-001-02","后道验收衬衫","白色","/materials/pcs-reviewed/linen-white.jpg","linen-white","https://www.muji.com/my/products/cmdty/detail/4550584638138","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-001-03","后道验收衬衫","雾蓝","/materials/pcs-reviewed/shirt-blue.jpg","shirt-blue","https://www.yoox.com/au/10708392XR/item","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-001-04","后道验收衬衫","卡其","/materials/pcs-reviewed/shirt-khaki.jpg","shirt-khaki","https://www.cymot.com/en/protective-equipment/body-protection/work-and-leisure-wear/lkshtli-jonsson-legendary-long-sleeve-one-pocket-shirt","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-001-05","后道验收衬衫","酒红","/materials/pcs-reviewed/shirt-wine.jpg","shirt-wine","https://www.zalando.fr/pier-one-chemise-bordeaux-pi922da31-g12.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-002-01","后道验收连衣裙","黑色","/materials/pcs-reviewed/casual-dress-black.jpg","casual-dress-black","https://gate.shop/cz/damske-bavlnene-mini-saty-7","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-002-02","后道验收连衣裙","白色","/materials/pcs-reviewed/casual-dress-white.jpg","casual-dress-white","https://www.walmart.com/ip/5605721813","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-002-03","后道验收连衣裙","雾蓝","/materials/pcs-reviewed/dress-blue.jpg","dress-blue","https://poshmark.com/listing/Zenana-Outfitters-Dusty-Blue-Midi-Dress-687530053509d1d8fb792cdf","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-002-04","后道验收连衣裙","卡其","/materials/pcs-reviewed/dress-khaki.jpg","dress-khaki","https://www.nordstromrack.com/s/theory-ruched-side-short-sleeve-dress/8530628","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-002-05","后道验收连衣裙","酒红","/materials/pcs-reviewed/dress-wine.jpg","dress-wine","https://ca.shein.com/SHEIN-Frenchy-Women-Burgundy-Red-Summer-Casual-Long-Dress-Short-Sleeve-Round-Neck-Simple-Minimalist-Work-Office-Clothes-Old-Money-Brunch-Vacation-Holiday-p-38735383.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-003-01","后道验收外套","黑色","/materials/pcs-reviewed/jacket-black.jpg","jacket-black","https://www.evolveclothing.com/en/Tommy-Hilfiger-Mens-Lightweight-Blouson-Jacket---Black/m-24834.aspx","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-003-02","后道验收外套","白色","/materials/pcs-reviewed/jacket-white.jpg","jacket-white","https://www.walmart.com/ip/17811824595","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-003-03","后道验收外套","雾蓝","/materials/pcs-reviewed/jacket-blue.jpg","jacket-blue","https://clothbase.com/items/72788fdb_nanushka-theo-stretch-cotton-twill-chore-jacket-blue_nanushka","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-003-04","后道验收外套","卡其","/materials/pcs-reviewed/jacket-khaki.jpg","jacket-khaki","https://www.walmart.com/ip/10514324931","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","SPU-QC-003-05","后道验收外套","酒红","/materials/pcs-reviewed/jacket-wine.jpg","jacket-wine","https://store.flylinking.com/g/DCS4WMTGBJ","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-012-BLA-S","Kaos Polos Premium 高端纯色T恤","Black","/materials/pcs-reviewed/tee-black.jpg","tee-black","https://www.thewarehouse.co.nz/p/hh-womens-essential-short-sleeve-crew-neck-tee/RM110161302-1M.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-012-BLA-M","Kaos Polos Premium 高端纯色T恤","Black","/materials/pcs-reviewed/tee-black.jpg","tee-black","https://www.thewarehouse.co.nz/p/hh-womens-essential-short-sleeve-crew-neck-tee/RM110161302-1M.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-012-WHI-S","Kaos Polos Premium 高端纯色T恤","White","/materials/pcs-reviewed/tee-white.jpg","tee-white","https://www.thewarehouse.co.nz/p/hh-womens-essential-short-sleeve-crew-neck-tee/RM110161302-3M.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-012-WHI-M","Kaos Polos Premium 高端纯色T恤","White","/materials/pcs-reviewed/tee-white.jpg","tee-white","https://www.thewarehouse.co.nz/p/hh-womens-essential-short-sleeve-crew-neck-tee/RM110161302-3M.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-011-BLA-S","Jaket Hoodie Unisex 连帽夹克","Black","/materials/pcs-reviewed/hood-black.jpg","hood-black","https://www.celio.com/en-fr/p/100-cotton-hooded-jacket---black/1186096.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-011-BLA-M","Jaket Hoodie Unisex 连帽夹克","Black","/materials/pcs-reviewed/hood-black.jpg","hood-black","https://www.celio.com/en-fr/p/100-cotton-hooded-jacket---black/1186096.html","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-011-WHI-S","Jaket Hoodie Unisex 连帽夹克","White","/materials/pcs-reviewed/hood-white.jpg","hood-white","https://www.tatacliq.com/van-heusen-white-cotton-regular-fit-hooded-jacket/p-mp000000023490266","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-011-WHI-M","Jaket Hoodie Unisex 连帽夹克","White","/materials/pcs-reviewed/hood-white.jpg","hood-white","https://www.tatacliq.com/van-heusen-white-cotton-regular-fit-hooded-jacket/p-mp000000023490266","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-010-BLA-S","Blazer Wanita Formal 女装正装外套","Black","/materials/pcs-reviewed/blazer-black.jpg","blazer-black","https://www.rolando.co.za/Shop/Shop?strCategories=s42&strPageHeader=Ladies+Formal+Jackets","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-010-BLA-M","Blazer Wanita Formal 女装正装外套","Black","/materials/pcs-reviewed/blazer-black.jpg","blazer-black","https://www.rolando.co.za/Shop/Shop?strCategories=s42&strPageHeader=Ladies+Formal+Jackets","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-010-WHI-S","Blazer Wanita Formal 女装正装外套","White","/materials/pcs-reviewed/blazer-white.png","blazer-white","https://www.riani.com/de_en/shop-riani/categories/blazer","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-010-WHI-M","Blazer Wanita Formal 女装正装外套","White","/materials/pcs-reviewed/blazer-white.png","blazer-white","https://www.riani.com/de_en/shop-riani/categories/blazer","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-009-BLA-S","Rok Mini Plisket 百褶短裙","Black","/materials/pcs-reviewed/pleated-black.jpg","pleated-black","https://www.uniqlo.com/us/en/products/E458051-000/00?colorDisplayCode=09","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-009-BLA-M","Rok Mini Plisket 百褶短裙","Black","/materials/pcs-reviewed/pleated-black.jpg","pleated-black","https://www.uniqlo.com/us/en/products/E458051-000/00?colorDisplayCode=09","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-009-WHI-S","Rok Mini Plisket 百褶短裙","White","/materials/pcs-reviewed/pleated-white.jpg","pleated-white","https://www.uniqlo.com/us/en/products/E458051-000/00?colorDisplayCode=00","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-009-WHI-M","Rok Mini Plisket 百褶短裙","White","/materials/pcs-reviewed/pleated-white.jpg","pleated-white","https://www.uniqlo.com/us/en/products/E458051-000/00?colorDisplayCode=00","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-008-BLA-S","男士休闲长裤","Black","/materials/pcs-reviewed/trousers-black.jpg","trousers-black","https://suitsupply.com/en-us/men/trousers/suit-trousers","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-008-BLA-M","男士休闲长裤","Black","/materials/pcs-reviewed/trousers-black.jpg","trousers-black","https://suitsupply.com/en-us/men/trousers/suit-trousers","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-008-WHI-S","男士休闲长裤","White","/materials/pcs-reviewed/trousers-white.jpg","trousers-white","https://mogusuit.com/products/mogu-mens-slim-fit-flat-front-pants-solid-color","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-008-WHI-M","男士休闲长裤","White","/materials/pcs-reviewed/trousers-white.jpg","trousers-white","https://mogusuit.com/products/mogu-mens-slim-fit-flat-front-pants-solid-color","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-007-BLA-S","Dress Wanita Casual 休闲连衣短裙","Black","/materials/pcs-reviewed/casual-dress-black.jpg","casual-dress-black","https://gate.shop/cz/damske-bavlnene-mini-saty-7","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-007-BLA-M","Dress Wanita Casual 休闲连衣短裙","Black","/materials/pcs-reviewed/casual-dress-black.jpg","casual-dress-black","https://gate.shop/cz/damske-bavlnene-mini-saty-7","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-007-WHI-S","Dress Wanita Casual 休闲连衣短裙","White","/materials/pcs-reviewed/casual-dress-white.jpg","casual-dress-white","https://www.walmart.com/ip/5605721813","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
"成衣 SKU","STYLE-PRJ-202603-007-WHI-M","Dress Wanita Casual 休闲连衣短裙","White","/materials/pcs-reviewed/casual-dress-white.jpg","casual-dress-white","https://www.walmart.com/ip/5605721813","本地存在且哈希一致","已校对 Mock 品类/颜色实拍；不作为真实实物身份或尺寸凭据"
